model,accuracy,latency,cost,leaderboard_score,efficiency,latency_score
mistral-7b,75.66,815.7,0.00157,0.0,48160.40738383195,0.0012259409081452238
llama-3-70b,79.25,987.4,0.00419,0.0,18909.568122166547,0.0010127607848766855
gpt-3.5-turbo,89.03,1124.4,0.009,0.0,9891.123208532386,0.0008893632151464217
llama-3-70b,71.78,869.6,0.00516,0.0,13908.15733385003,0.001149954000517532
llama-3-70b,86.21,895.2,0.00529,0.0,16293.706293706291,0.0011170688101909418
mistral-7b,77.61,682.0,0.00288,0.0,26938.562998958692,0.0014662756576740827
mistral-7b,84.13,647.2,0.00175,0.0,48046.830382638494,0.0015451174265372102
gemini-ultra,91.87,2877.9,0.03772,0.0,2435.513374512871,0.0003474755897190745
gemini-pro,88.58,1569.3,0.00964,0.0,9187.843584690387,0.0006372267886081522
gemini-pro,86.0,926.0,0.0129,0.0,6666.149910859624,0.0010799136057452338
mistral-7b,71.8,555.4,0.00189,0.0,37969.32839767319,0.0018005041379177097
claude-3-sonnet,82.83,1740.4,0.01593,0.0,5199.296968175256,0.0005745805558638355
gemini-ultra,91.11,2139.8,0.03247,0.0,2805.8883311262357,0.00046733339542605226
gemini-ultra,93.4,2121.2,0.03334,0.0,2801.3556881917157,0.00047143126509926873
gemini-ultra,89.18,2663.5,0.03483,0.0,2560.3628951221613,0.000375445841796341
claude-3-sonnet,85.84,1713.3,0.01267,0.0,6774.524504774683,0.0005836689426348749
gemini-ultra,91.85,2586.9,0.034,0.0,2701.391135554836,0.00038656306761507476
gpt-3.5-turbo,83.25,1061.5,0.00789,0.0,10549.99366366747,0.0009420631173414384
gemini-pro,78.1,1607.9,0.00787,0.0,9922.500317621649,0.0006219292240674611
gemini-ultra,97.8,1984.6,0.03702,0.0,2641.743875097917,0.0005038798747838961
claude-3-sonnet,86.59,1657.2,0.01714,0.0,5051.630593314276,0.0006034274676542194
gpt-3.5-turbo,82.04,1215.0,0.00669,0.0,12261.246450455837,0.0008230452668123084
claude-3-sonnet,91.59,1774.7,0.01771,0.0,5171.362430128169,0.0005634755166712822
gemini-pro,85.13,1260.5,0.01189,0.0,7159.196030611387,0.0007933359771572106
gpt-3.5-turbo,83.8,1264.6,0.00428,0.0,19574.86568558748,0.0007907638772807498
claude-3-sonnet,83.59,1899.0,0.02164,0.0,3862.5756665588465,0.0005265929433772549
gemini-ultra,93.47,2216.0,0.04161,0.0,2246.281031458028,0.00045126353770249844
claude-3-sonnet,84.47,1134.6,0.02225,0.0,3796.233877129118,0.0008813678821775358
gpt-4,96.19,2441.3,0.04703,0.0,2045.2467521422038,0.0004096178264000255
mistral-7b,77.63,757.3,0.00287,0.0,27039.35910832462,0.0013204806532147357
claude-3-opus,97.22,2573.5,0.03391,0.0,2866.9163398307332,0.0003885758692875167
gemini-ultra,97.38,2106.2,0.04129,0.0,2358.3831827759072,0.0004747887187946118
claude-3-sonnet,91.77,1821.9,0.01972,0.0,4653.415141220018,0.0005488775451183502
gemini-pro,83.46,1502.1,0.01353,0.0,6168.058532259256,0.0006657346377300215
mistral-7b,73.4,727.1,0.00183,0.0,40087.38394320044,0.001375326638185495
gpt-4,91.29,2809.0,0.03943,0.0,2315.1834850751948,0.000355998575878961
claude-3-opus,93.0,2672.9,0.04079,0.0,2279.9146870633226,0.0003741254815465878
claude-3-opus,91.1,2936.8,0.03496,0.0,2605.760704785332,0.0003405066738148642
gpt-3.5-turbo,80.14,1313.7,0.00816,0.0,9819.875015316751,0.0007612087989942841
llama-3-70b,91.63,623.6,0.00367,0.0,24960.501225824024,0.0016035920436119435
claude-3-opus,93.49,2355.9,0.0339,0.0,2757.735760007079,0.0004244662335309367
gemini-ultra,89.63,2857.4,0.03027,0.0,2960.919692114565,0.0003499685027122669
llama-3-70b,82.64,856.1,0.00423,0.0,19532.025525880406,0.0011680878388411543
gpt-4,89.22,2946.1,0.04433,0.0,2012.5871286458685,0.0003394317910663481
gpt-4,94.98,2072.9,0.04195,0.0,2264.0699864127196,0.0004824159387899002
llama-3-70b,83.59,711.1,0.00388,0.0,21538.26333419222,0.0014062719710219772
mistral-7b,79.04,686.3,0.00226,0.0,34957.983193277316,0.0014570887345809577
mistral-7b,75.6,563.3,0.00203,0.0,37223.04283604135,0.0017752529703972076
gemini-pro,80.1,771.8,0.01554,0.0,5154.108487227334,0.0012956724523248608
gemini-pro,82.15,1030.7,0.01281,0.0,6412.458043868552,0.0009702144164449262
llama-3-70b,86.37,1266.1,0.00288,0.0,29979.1738979521,0.0007898270272570674
claude-3-opus,87.63,2866.4,0.04261,0.0,2056.511229494731,0.00034886966217245686
mistral-7b,77.99,569.9,0.00159,0.0,49019.48460087995,0.0017546938028519148
claude-3-opus,96.64,2266.3,0.03938,0.0,2453.975267260862,0.00044124784872203685
mistral-7b,67.89,747.6,0.00222,0.0,30567.312021611884,0.0013376136953750484
gemini-ultra,92.59,1961.8,0.03395,0.0,2727.16562104209,0.0005097359565145601
gemini-ultra,88.51,2387.5,0.04489,0.0,1971.6646989374262,0.0004188481673638332
claude-3-sonnet,82.57,1780.9,0.01933,0.0,4271.377580052765,0.0005615138410008906
claude-3-opus,97.03,2458.9,0.03179,0.0,3052.121669654934,0.0004066859163013193
gpt-3.5-turbo,83.14,838.3,0.01046,0.0,7947.614950769525,0.0011928903719516995
gpt-4,95.47,2967.6,0.05256,0.0,1816.3657464660107,0.0003369726377082583
mistral-7b,70.71,695.0,0.00301,0.0,23483.892394553302,0.0014388489187930232
gemini-ultra,88.24,2870.4,0.03658,0.0,2412.1811869549765,0.00034838350043604256
claude-3-opus,93.91,2203.7,0.03699,0.0,2538.725635965505,0.0004537822750584099
claude-3-sonnet,90.71,1438.6,0.02214,0.0,4096.924258163587,0.000695120255321062
llama-3-70b,84.97,1052.5,0.00357,0.0,23794.455334640155,0.0009501187639428799
gpt-3.5-turbo,82.95,1197.4,0.00774,0.0,10715.669810102054,0.0008351428087229472
claude-3-opus,92.44,3220.3,0.04759,0.0,1942.3840642138218,0.0003105300747413191
claude-3-opus,93.35,2271.9,0.04587,0.0,2035.0548276688974,0.00044016021812572727
claude-3-opus,86.01,2776.8,0.0427,0.0,2014.2385424228942,0.00036012676449145533
llama-3-70b,85.09,1033.9,0.00362,0.0,23499.033416183374,0.0009672115282259293
mistral-7b,67.63,639.8,0.00182,0.0,37138.934651290496,0.0015629884314426565
gpt-4,88.9,2663.6,0.03428,0.0,2593.273241737406,0.00037543174636753577
claude-3-opus,96.13,2114.7,0.04538,0.0,2118.2873889953944,0.0004728803137689128
mistral-7b,72.43,715.4,0.00226,0.0,32034.49800973021,0.001397819399779397
gemini-ultra,93.26,2359.3,0.03747,0.0,2488.8580502255077,0.0004238545329445791
claude-3-opus,92.69,2812.7,0.03987,0.0,2324.7473100749917,0.00035553027327637853
claude-3-sonnet,85.31,1381.1,0.01374,0.0,6208.427334255149,0.0007240605309361665
gemini-pro,80.85,1352.8,0.00799,0.0,10117.632336378425,0.0007392075689390836
llama-3-70b,83.07,986.7,0.00423,0.0,19633.656346017488,0.0010134792733216993
claude-3-opus,90.02,2587.3,0.02335,0.0,3855.0811528414197,0.00038650330445386957
gpt-4,99.22,3500.4,0.04297,0.0,2308.9990924111607,0.0002856816363027992
gemini-ultra,88.78,2907.4,0.0397,0.0,2236.215712450568,0.00034394992077321665
gpt-3.5-turbo,84.58,1026.0,0.0087,0.0,9720.721756119987,0.0009746588684457515
gemini-pro,82.67,1355.8,0.01134,0.0,7289.480645445729,0.0007375719127175306
llama-3-70b,89.4,692.6,0.00357,0.0,25035.004200504063,0.0014438348232113272
mistral-7b,71.56,437.8,0.00231,0.0,30964.950237992212,0.0022841480075738965
llama-3-70b,77.68,1026.1,0.00445,0.0,17452.257919568638,0.0009745638817127338
gemini-ultra,90.11,2723.4,0.04341,0.0,2075.7411715924536,0.0003671880735965381
mistral-7b,68.23,655.7,0.00179,0.0,38096.035734226694,0.0015250876902164286
gemini-ultra,91.0,3018.2,0.03712,0.0,2451.442579671884,0.0003313233051715184
llama-3-70b,77.07,1051.8,0.00291,0.0,26475.437993816555,0.0009507510924598296
gpt-3.5-turbo,86.93,1246.3,0.00613,0.0,14178.763660088078,0.0008023750294452579
mistral-7b,75.79,612.1,0.00192,0.0,39453.40968245706,0.0016337199777263192
mistral-7b,74.0,671.6,0.00326,0.0,22692.425636307882,0.0014889815344118797
claude-3-opus,93.71,3133.4,0.04686,0.0,1999.7439235184906,0.0003191421458099374
gpt-3.5-turbo,78.87,1277.6,0.00834,0.0,9455.70075530512,0.0007827175948788998
gemini-pro,84.69,1190.1,0.01402,0.0,6040.225376221382,0.000840265523199508
mistral-7b,78.69,649.2,0.00221,0.0,35590.230664857525,0.0015403573605354938
gpt-4,88.31,3234.5,0.04746,0.0,1860.685615558037,0.0003091667953905807
gpt-3.5-turbo,80.87,1209.1,0.00873,0.0,9262.398350704389,0.0008270614499817538
gpt-3.5-turbo,83.43,1222.1,0.00545,0.0,15305.44854155201,0.0008182636438767174
claude-3-sonnet,88.66,1942.4,0.01636,0.0,5418.98416967178,0.0005148270178568641
claude-3-sonnet,89.46,1302.5,0.02155,0.0,4151.083476404807,0.0007677543180285955
gpt-3.5-turbo,79.98,1153.4,0.00794,0.0,10071.779372874955,0.0008670019066525038
claude-3-opus,91.63,2522.3,0.03807,0.0,2406.8188384859864,0.00039646354501983764
gpt-3.5-turbo,88.16,1277.3,0.00642,0.0,13729.948606136115,0.0007829014320966871
gpt-3.5-turbo,78.48,855.8,0.01042,0.0,7530.947125995586,0.0011684973110907954
claude-3-sonnet,87.44,1605.2,0.01252,0.0,6983.467774139446,0.0006229753297888267
gemini-pro,83.3,1046.2,0.01237,0.0,6733.489612804138,0.0009558401826076846
gpt-3.5-turbo,83.82,1173.6,0.00692,0.0,12110.966623320328,0.0008520790722119298
gpt-4,93.7,3021.0,0.03929,0.0,2384.7700491206638,0.0003310162196851982
llama-3-70b,80.27,1004.5,0.00562,0.0,14280.377157089484,0.0009955201582921651
gemini-ultra,92.22,2221.2,0.03044,0.0,3029.466837488913,0.000450207095061135
gemini-pro,83.19,1573.3,0.00935,0.0,8896.37471928136,0.0006356066861783469
gpt-4,88.94,2655.2,0.04055,0.0,2193.28746516732,0.0003766194635520415
claude-3-sonnet,87.88,1204.3,0.023,0.0,3820.703447676188,0.0008303578835586167
gemini-ultra,87.01,2605.2,0.03404,0.0,2556.0353691137157,0.0003838476890895718
gpt-4,93.1,2587.2,0.05364,0.0,1735.6126843272868,0.0003865182435117045
claude-3-sonnet,92.2,1574.2,0.01755,0.0,5253.261922397584,0.00063524329777967
gemini-pro,82.09,1314.3,0.01386,0.0,5922.372123223433,0.0007608612944070141
gpt-3.5-turbo,80.65,1054.7,0.00404,0.0,19957.93120514724,0.0009481369100709803
gemini-pro,84.39,1277.3,0.01275,0.0,6618.304446710063,0.0007829014320966871
claude-3-opus,94.34,3623.2,0.02975,0.0,3170.9858492151525,0.0002759991167266507
llama-3-70b,67.47,956.5,0.00457,0.0,14760.446291839859,0.001045478305232119
gpt-4,87.63,3406.7,0.04005,0.0,2187.9603505530445,0.0002935392020742833
claude-3-opus,92.45,3384.0,0.04261,0.0,2169.6275609584377,0.00029550827414435337
claude-3-sonnet,86.08,1431.4,0.01645,0.0,5232.508662087411,0.0006986167383689976
claude-3-sonnet,87.53,1362.0,0.0117,0.0,7480.557217331852,0.000734214390062985
gpt-4,91.83,2917.3,0.0523,0.0,1755.7981682950613,0.0003427827099226056
llama-3-70b,76.01,861.1,0.00559,0.0,13595.063494902523,0.0011613053058166236
claude-3-opus,91.27,2872.7,0.03964,0.0,2302.4141671501725,0.00034810457049183537
llama-3-70b,80.56,769.0,0.00201,0.0,40059.6718050721,0.001300390115344096
claude-3-sonnet,89.92,1546.7,0.01566,0.0,5741.651235553285,0.0006465377897158221
gemini-ultra,90.61,2362.8,0.04403,0.0,2057.868320047239,0.0004232266800307996
gemini-ultra,88.78,2076.7,0.03588,0.0,2474.2900142136505,0.000481533201482384
gemini-ultra,87.82,2975.2,0.03354,0.0,2618.2880653528514,0.00033611185791338003
gemini-pro,82.82,1278.5,0.01196,0.0,6924.170219881281,0.0007821666008743319
gemini-pro,87.26,1516.8,0.01419,0.0,6148.967655556339,0.0006592826999872872
claude-3-opus,92.48,3058.8,0.05169,0.0,1789.0928788377087,0.0003269255916284407
gemini-ultra,87.77,2159.1,0.03377,0.0,2598.975452311154,0.00046315594439203564
gemini-pro,81.11,1539.1,0.01255,0.0,6462.433272249224,0.000649730361477662
gemini-ultra,92.11,2625.1,0.02896,0.0,3180.484099305963,0.000380937868888447
gemini-pro,91.15,1144.7,0.01259,0.0,7239.297911206418,0.000873591333210805
claude-3-opus,94.92,2683.5,0.03753,0.0,2529.109269670406,0.000372647661497057
gemini-pro,83.42,1402.3,0.01353,0.0,6165.102357549332,0.0007131141690700177
claude-3-opus,93.35,2466.1,0.04526,0.0,2062.48204856278,0.00040549856031568124
llama-3-70b,81.2,954.5,0.00393,0.0,20656.321546680232,0.001047668935518419
gemini-ultra,91.98,2531.8,0.03378,0.0,2722.8323613865787,0.0003949759063136994
gpt-3.5-turbo,77.7,850.1,0.00862,0.0,9012.87553648069,0.0011763321948284528
gemini-ultra,89.61,2856.4,0.03551,0.0,2523.443440060826,0.00035009102354358946
gpt-4,96.5,3097.7,0.05434,0.0,1775.8230433742478,0.00032282015678638344
gpt-4,93.27,3022.8,0.04732,0.0,1971.006529870459,0.00033081910800224326
gpt-3.5-turbo,84.57,890.0,0.0098,0.0,8628.711355984084,0.0011235955043555107
gemini-ultra,90.91,2630.4,0.03003,0.0,3027.2052212713525,0.00038017031615717367
gpt-4,95.33,3384.9,0.04485,0.0,2125.482152014448,0.00029542970241501086
gpt-3.5-turbo,79.55,642.7,0.00917,0.0,8674.081343364956,0.0015559358930201713
claude-3-opus,89.76,3076.0,0.03707,0.0,2421.2996682042567,0.00032509752915308923
claude-3-sonnet,89.92,1780.1,0.01767,0.0,5088.563182615584,0.0005617661925949294
gpt-4,91.41,2784.7,0.0463,0.0,1974.25541564977,0.0003591051099367598
gemini-ultra,91.37,2225.2,0.03743,0.0,2441.024819000294,0.0004493978067367438
gemini-ultra,88.29,2406.9,0.0376,0.0,2348.075849046568,0.0004154721839646549
llama-3-70b,79.9,817.0,0.00443,0.0,18032.04694199955,0.0012239902065801834
mistral-7b,74.5,615.7,0.0024,0.0,31028.738025822575,0.0016241676114598542
gpt-3.5-turbo,81.81,1287.9,0.00766,0.0,10678.76256363399,0.0007764577989157093
gpt-3.5-turbo,79.22,1187.3,0.00677,0.0,11699.896617929404,0.0008422471145942498
claude-3-opus,94.32,3305.5,0.04137,0.0,2279.8578714558507,0.0003025260927839885
claude-3-sonnet,88.47,1307.1,0.02006,0.0,4410.049349484073,0.0007650524055045119
llama-3-70b,75.73,884.1,0.00627,0.0,12076.223887737202,0.001131093766393967
gemini-ultra,94.53,2272.8,0.03466,0.0,2727.272727272727,0.000439985920256958
gemini-ultra,86.95,2045.9,0.0377,0.0,2306.3048725497997,0.0004887824426957415
gpt-4,96.47,3514.2,0.04882,0.0,1975.993937035292,0.00028455978593006667
gemini-pro,91.75,1085.0,0.01311,0.0,6997.940660514072,0.0009216589853256598
gemini-ultra,89.68,2451.1,0.04159,0.0,2156.23572407492,0.0004079800904051324
claude-3-opus,88.85,3025.9,0.04439,0.0,2001.531842040053,0.00033048018760352947
claude-3-sonnet,84.9,1653.0,0.01489,0.0,5701.430394197838,0.0006049606771899814
llama-3-70b,79.68,985.0,0.00427,0.0,18656.052446733785,0.0010152284253652504
gemini-pro,86.02,1274.3,0.01315,0.0,6540.947456467189,0.0007847445650280588
claude-3-sonnet,85.61,1529.1,0.02031,0.0,4214.9574122396725,0.0006539794646171084
claude-3-opus,92.28,2881.3,0.04604,0.0,2004.3005147585848,0.0003470655605639588
claude-3-sonnet,86.74,1593.5,0.02277,0.0,3809.23103948004,0.0006275494191229687
mistral-7b,76.17,757.2,0.00132,0.0,57660.86298258895,0.0013206550431581418
claude-3-sonnet,93.0,1462.0,0.02408,0.0,3861.965865204933,0.0006839945275759271
mistral-7b,82.4,759.4,0.00167,0.0,49311.789347695994,0.0013168290738519502
gpt-3.5-turbo,84.74,1073.2,0.00632,0.0,13406.10662869799,0.0009317927684198724
llama-3-70b,84.52,1100.4,0.00398,0.0,21230.84652097463,0.0009087604499193379
gpt-4,89.24,2874.6,0.04751,0.0,1878.3018669360779,0.0003478744867641152
mistral-7b,69.68,465.6,0.00224,0.0,31093.261936635434,0.002147766318411155
gemini-ultra,95.43,2705.3,0.03671,0.0,2599.4933398708836,0.00036964477123807164
llama-3-70b,77.38,882.8,0.00431,0.0,17949.43168638367,0.001132759400619892
llama-3-70b,88.08,904.1,0.00456,0.0,19311.554483665863,0.0011060723359074523
gemini-pro,89.21,1207.1,0.01038,0.0,8593.584433098931,0.0008284317779567296
gemini-ultra,94.27,1824.8,0.04065,0.0,2319.0081424811196,0.0005480052605501943
gemini-pro,86.16,1311.4,0.01073,0.0,8029.074643556053,0.0007625438456896874
gemini-ultra,90.79,2559.2,0.02958,0.0,3069.1998242114873,0.00039074710831871407
claude-3-opus,93.96,3328.3,0.04037,0.0,2327.4132421787913,0.0003004536849741749
claude-3-sonnet,86.94,1280.2,0.01791,0.0,4854.0003349896715,0.0007811279481478456
llama-3-70b,77.54,1039.1,0.00397,0.0,19526.56761521028,0.0009623712819147616
gemini-pro,82.49,1024.7,0.01276,0.0,6464.226941462268,0.0009758953830624617
mistral-7b,71.88,825.8,0.00174,0.0,41286.61688684664,0.0012109469590567367
claude-3-sonnet,89.67,1522.5,0.0191,0.0,4694.518611591016,0.000656814449486493
gpt-4,93.6,2845.6,0.03726,0.0,2512.009876278146,0.00035141973560886294
claude-3-sonnet,86.45,1589.5,0.01856,0.0,4657.615430203114,0.0006291286564145148
claude-3-opus,90.18,3064.0,0.05049,0.0,1786.0608821374108,0.0003263707570736388
gemini-pro,80.79,1511.8,0.01334,0.0,6055.767933438274,0.0006614631560646493
gpt-4,93.77,2810.4,0.04107,0.0,2283.1194760293147,0.0003558212352847206
mistral-7b,65.64,728.3,0.00152,0.0,43155.818540433924,0.0013730605500850467
gemini-pro,83.48,1627.2,0.01313,0.0,6357.474678242328,0.0006145526053253732
gpt-4,89.93,3196.4,0.05174,0.0,1738.080052569529,0.00031285195835538355
gpt-3.5-turbo,81.33,1283.4,0.00858,0.0,9477.916326768442,0.0007791803017148353
claude-3-opus,89.32,2599.3,0.04548,0.0,1963.8970119390513,0.0003847189626496676
gemini-ultra,92.96,2302.5,0.04194,0.0,2216.4469135213753,0.0004343105318417761
claude-3-sonnet,87.87,1640.7,0.02401,0.0,3659.5726958477367,0.000609495946480468
llama-3-70b,86.44,1048.3,0.00531,0.0,16275.654302391264,0.0009539254021235091
mistral-7b,84.66,721.4,0.00094,0.0,89968.11902231668,0.0013861935106928285
gemini-pro,82.52,1509.4,0.01139,0.0,7244.3156878237205,0.0006625149061464721
mistral-7b,72.54,631.9,0.00197,0.0,36803.65296803653,0.0015825288786476834
claude-3-sonnet,90.11,1840.0,0.019,0.0,4742.381979895795,0.0005434782605741966
gemini-ultra,88.94,2873.4,0.03787,0.0,2348.49885136384,0.00034801976740167755
gemini-pro,82.79,1075.6,0.01378,0.0,6007.546622160947,0.000929713647331988
gpt-4,93.08,2928.7,0.04983,0.0,1867.9135477915354,0.0003414484240989353
gemini-ultra,87.07,2661.0,0.03733,0.0,2332.377916476922,0.00037579857182420197
gemini-ultra,90.09,2298.4,0.03331,0.0,2704.512023055447,0.0004350852765249368
gpt-4,93.24,3220.7,0.04762,0.0,1957.95972365133,0.0003104915079608497
gemini-ultra,89.75,2696.0,0.03521,0.0,2548.919371787226,0.0003709198811680564
gemini-ultra,90.41,2600.9,0.04173,0.0,2166.4949318252616,0.0003844822944425075
gemini-pro,79.91,913.8,0.01202,0.0,6647.533483071293,0.0010943313623393179
claude-3-opus,91.62,2305.2,0.0354,0.0,2588.0624841106182,0.0004338018391316147
claude-3-sonnet,91.66,1605.8,0.01201,0.0,7631.337940221464,0.0006227425578386209
gpt-4,95.7,2615.4,0.03345,0.0,2860.9010194015127,0.00038235069190856055
claude-3-opus,85.94,2805.9,0.03773,0.0,2277.702684794996,0.0003563918883936021
claude-3-sonnet,86.47,1634.8,0.0161,0.0,5370.473883609713,0.0006116956198851873
gemini-pro,79.3,1348.4,0.01131,0.0,7010.874370082221,0.0007416196968691636
claude-3-sonnet,85.28,1870.0,0.01677,0.0,5084.968099695903,0.0005347593580028024
gpt-3.5-turbo,80.99,941.6,0.00499,0.0,16227.208976157082,0.0010620220889315823
claude-3-opus,93.65,2985.5,0.03759,0.0,2491.2878082519755,0.0003349522691894315
claude-3-opus,87.93,3138.4,0.05214,0.0,1686.3888302871062,0.00031863369859844707
claude-3-sonnet,84.39,1668.8,0.01618,0.0,5215.376058340028,0.0005992329814242371
gpt-3.5-turbo,83.05,692.9,0.00725,0.0,11453.592607916149,0.001443209696286319
claude-3-sonnet,85.09,1081.0,0.01755,0.0,4848.156800182326,0.0009250693793477618
gpt-3.5-turbo,79.86,1019.5,0.00636,0.0,12554.62977519258,0.0009808729759873732
claude-3-sonnet,84.6,1128.9,0.01741,0.0,4858.997185687209,0.0008858180521872458
claude-3-opus,92.09,2670.9,0.03794,0.0,2427.189583827522,0.0003744056309205116
claude-3-sonnet,89.91,1372.9,0.01923,0.0,4675.263896833238,0.0007283851695473922
gemini-ultra,91.13,2124.3,0.03293,0.0,2767.301327017096,0.0004707433034549059
claude-3-opus,93.14,3654.6,0.0455,0.0,2046.9879782861915,0.00027362775672477765
mistral-7b,70.72,846.2,0.00213,0.0,33186.29751290474,0.001181753721127684
gpt-3.5-turbo,86.82,973.0,0.00453,0.0,19161.333039064222,0.0010277492281318096
llama-3-70b,89.36,1006.2,0.00516,0.0,17314.473939159077,0.0009938382021528144
gpt-3.5-turbo,81.53,1414.7,0.00808,0.0,10089.097883925257,0.0007068636455030298
gpt-4,94.88,2494.7,0.04993,0.0,1900.2223067833609,0.0004008498014186677
mistral-7b,74.8,788.0,0.00139,0.0,53774.26312005751,0.0012690355313844726
gpt-3.5-turbo,83.27,1352.2,0.00407,0.0,20454.433800049126,0.0007395355711140839
gemini-ultra,91.17,2312.2,0.0316,0.0,2885.0352836935535,0.0004324885388666688
gpt-4,91.83,3514.9,0.04086,0.0,2247.375247791292,0.0002845031152281706
gpt-4,92.67,2597.7,0.0454,0.0,2041.14446818352,0.0003849559223986774
gemini-ultra,88.19,2557.8,0.03779,0.0,2333.6244079278135,0.0003909609819411365
claude-3-opus,93.9,2403.1,0.032,0.0,2934.283303646761,0.00041612916632011605
gemini-ultra,92.02,2445.4,0.04808,0.0,1913.8537052057984,0.0004089310540570332
claude-3-sonnet,89.7,1509.7,0.01429,0.0,6276.677629277167,0.0006623832545125632
gpt-3.5-turbo,86.33,1273.4,0.0127,0.0,6797.102590347217,0.000785299198378122
mistral-7b,75.59,877.3,0.00145,0.0,52095.10682288078,0.0011398609356664073
claude-3-opus,89.65,2748.1,0.03876,0.0,2312.89182425634,0.00036388777687715594
claude-3-opus,91.1,3421.2,0.04062,0.0,2242.6823564166316,0.0002922951010486686
gpt-3.5-turbo,81.04,986.9,0.01024,0.0,7913.289717800996,0.0010132738869051841
claude-3-opus,89.04,2238.1,0.03037,0.0,2931.7440979882126,0.000446807559784278
claude-3-opus,95.87,2617.3,0.04474,0.0,2142.7773183433537,0.00038207312865087183
gpt-4,92.19,2390.8,0.04955,0.0,1860.5073560573956,0.0004182700349597331
gpt-3.5-turbo,83.8,1271.5,0.00697,0.0,12021.230813369675,0.0007864726694561756
gemini-ultra,86.13,2806.3,0.03743,0.0,2301.03390238038,0.0003563410895640733
mistral-7b,66.07,526.8,0.00169,0.0,39071.555292726196,0.0018982536030784862
llama-3-70b,81.07,1073.5,0.0059,0.0,13738.349432299608,0.0009315323698821309
mistral-7b,68.4,704.7,0.00247,0.0,27681.100768919467,0.0014190435626237497
gemini-ultra,90.23,2642.3,0.03857,0.0,2339.3222887661714,0.0003784581613070211
gpt-4,92.58,2929.2,0.04961,0.0,1866.1184011610328,0.00034139014053619077
llama-3-70b,81.42,537.0,0.00349,0.0,23322.83013463191,0.0018621973894558709
gpt-3.5-turbo,82.82,1266.3,0.0055,0.0,15055.444464642791,0.000789702281615966
gpt-3.5-turbo,86.03,1206.7,0.0083,0.0,10363.811588965185,0.0008287063886395073
gemini-ultra,90.11,2523.2,0.04071,0.0,2213.4066959789734,0.0003963221304707031
claude-3-sonnet,89.82,1519.1,0.01747,0.0,5141.090950718332,0.0006582845101321279
gpt-3.5-turbo,81.63,1197.4,0.00848,0.0,9625.044216483906,0.0008351428087229472
gemini-ultra,93.01,2913.5,0.02935,0.0,3168.8869203775,0.00034322979222816893
claude-3-opus,89.29,2647.9,0.04074,0.0,2191.649689501976,0.00037765776638934336
gpt-4,89.26,2710.9,0.05253,0.0,1699.1871466372238,0.0003688811832347629
gpt-5.2 (xhigh),86.19756666666667,44.29,0.022285633333333332,0.0,3867.680029434684,0.022578459639230986
claude opus 4.5,86.19756666666667,1.7,0.022285633333333332,0.0,3867.680029434684,0.5882349480970894
gemini 3 pro preview (high),86.19756666666667,32.19,0.022285633333333332,0.0,3867.680029434684,0.03106554734185936
gpt-5.1 (high),86.19756666666667,26.5,0.022285633333333332,0.0,3867.680029434684,0.03773584763260952
gemini 3 flash,86.19756666666667,11.62,0.022285633333333332,0.0,3867.680029434684,0.08605851238739137
gpt-5.2 (medium),86.19756666666667,0.0,0.022285633333333332,0.0,3867.680029434684,1000000.0
claude opus 4.5,86.19756666666667,1.96,0.022285633333333332,0.0,3867.680029434684,0.510203821324581
claude 4.5 sonnet,86.19756666666667,1.6,0.022285633333333332,0.0,3867.680029434684,0.6249996093752441
glm-4.7,86.19756666666667,0.61,0.022285633333333332,0.0,3867.680029434684,1.6393415748498772
gpt-5.1 codex (high),86.19756666666667,17.8,0.022285633333333332,0.0,3867.680029434684,0.056179772124731894
grok 4,86.19756666666667,6.34,0.022285633333333332,0.0,3867.680029434684,0.1577286817462647
deepseek v3.2,86.19756666666667,1.41,0.022285633333333332,0.0,3867.680029434684,0.7092193551635779
o3,86.19756666666667,12.44,0.022285633333333332,0.0,3867.680029434684,0.08038584562814746
gpt-5 mini (high),86.19756666666667,113.01,0.022285633333333332,0.0,3867.680029434684,0.008848774366438595
gemini 3 pro preview (low),86.19756666666667,4.04,0.022285633333333332,0.0,3867.680029434684,0.2475246912067596
kimi k2 thinking,86.19756666666667,0.62,0.022285633333333332,0.0,3867.680029434684,1.6129006243538315
minimax-m2.1,86.19756666666667,1.79,0.022285633333333332,0.0,3867.680029434684,0.5586589057771476
mimo-v2-flash,86.19756666666667,1.67,0.022285633333333332,0.0,3867.680029434684,0.5988020366454871
grok 4.1 fast,86.19756666666667,6.15,0.022285633333333332,0.0,3867.680029434684,0.16260159957697568
gpt-5.1 codex mini (high),86.19756666666667,8.53,0.022285633333333332,0.0,3867.680029434684,0.11723328051192493
claude 4.5 sonnet,86.19756666666667,1.51,0.022285633333333332,0.0,3867.680029434684,0.6622512170521742
claude 4.5 haiku,86.19756666666667,0.46,0.022285633333333332,0.0,3867.680029434684,2.1739083175906138
kat-coder-pro v1,86.19756666666667,1.09,0.022285633333333332,0.0,3867.680029434684,0.9174303509813294
minimax-m2,86.19756666666667,1.28,0.022285633333333332,0.0,3867.680029434684,0.7812493896489143
nova 2.0 pro preview (medium),86.19756666666667,21.03,0.022285633333333332,0.0,3867.680029434684,0.047551115190151434
gemini 3 flash,86.19756666666667,0.74,0.022285633333333332,0.0,3867.680029434684,1.3513495252033443
