Model,Use_Case,Region,Users,Requests_per_day,Accuracy_pct,Cost_per_1K,Latency_ms,Uptime_pct,Throughput_rps
GPT-4,Data Analysis,Europe,2898,47388,91.7,0.04938,2954.3,99.15,379.9
GPT-3.5-Turbo,Chatbot,North America,1768,7930,81.0,0.00742,1150.6,99.06,793.3
Claude-3-Opus,Summarization,Middle East,781,13421,91.88,0.0442,2763.3,99.18,357.6
Claude-3-Sonnet,Code Generation,North America,595,2708,91.31,0.01701,1542.9,99.18,670.2
GPT-4,Content Creation,Europe,184,2562,95.23,0.05192,2939.7,99.06,299.8
GPT-4,Question Answering,North America,832,14774,94.71,0.03896,2842.2,99.09,410.8
Mistral-7B,Question Answering,Europe,3350,27226,72.93,0.00233,648.8,99.06,1498.1
Gemini-Ultra,Translation,Asia-Pacific,177,2834,92.24,0.03682,2348.3,99.14,430.8
GPT-4,Code Generation,Europe,313,3567,93.41,0.04699,3183.9,99.15,340.8
GPT-4,Data Analysis,Asia-Pacific,336,4068,93.84,0.0438,2635.3,99.17,318.4
Claude-3-Sonnet,Content Creation,Europe,7276,98078,90.78,0.01667,1646.9,99.19,611.9
Claude-3-Opus,Translation,Asia-Pacific,1252,12821,91.59,0.04251,2885.3,99.11,374.1
GPT-4,Question Answering,Europe,2771,22671,94.58,0.04768,3038.6,99.11,322.7
Mistral-7B,Content Creation,North America,1059,14723,75.5,0.0018,756.1,98.94,1541.8
Gemini-Pro,Translation,North America,2676,30401,83.98,0.01142,1251.5,99.16,819.0
GPT-4,Translation,North America,640,3120,91.62,0.03817,2858.3,99.2,384.7
Llama-3-70B,Content Creation,Asia-Pacific,1221,7600,80.1,0.00413,969.4,99.03,1191.8
Claude-3-Sonnet,Question Answering,North America,4071,48158,88.9,0.0179,1324.4,99.09,682.7
GPT-4,Content Creation,Latin America,639,8649,93.54,0.03859,2719.6,99.13,337.6
GPT-4,Question Answering,Asia-Pacific,282,4724,94.32,0.05395,2835.0,99.15,355.4
GPT-3.5-Turbo,Summarization,Asia-Pacific,486,3796,81.37,0.00716,1258.6,99.08,911.1
Gemini-Ultra,Summarization,Latin America,1449,17136,91.9,0.03094,2384.3,99.22,422.1
Claude-3-Opus,Data Analysis,Asia-Pacific,855,13362,93.52,0.0384,2653.1,99.13,378.1
Llama-3-70B,Content Creation,Asia-Pacific,906,11963,79.97,0.00551,966.3,99.11,1160.7
Mistral-7B,Translation,Middle East,4837,81590,71.79,0.00216,683.9,99.02,1484.5
Llama-3-70B,Chatbot,Europe,969,9906,80.4,0.00389,992.5,99.08,1096.3
Claude-3-Sonnet,Chatbot,Asia-Pacific,2133,15222,88.02,0.0163,1545.4,99.15,707.7
Claude-3-Opus,Content Creation,Europe,1619,29293,90.69,0.04587,2943.5,99.12,326.6
Claude-3-Opus,Summarization,Europe,1868,23723,93.63,0.03998,2728.2,99.17,404.5
GPT-3.5-Turbo,Summarization,Europe,2163,17955,82.49,0.00703,1111.8,99.14,858.1
Llama-3-70B,Code Generation,Asia-Pacific,3278,48342,82.58,0.00476,984.5,99.09,1050.7
Claude-3-Sonnet,Summarization,North America,1728,14925,85.33,0.01687,1641.2,99.12,689.1
Claude-3-Opus,Chatbot,Europe,1974,33756,91.74,0.03324,2664.9,99.15,426.2
Claude-3-Opus,Data Analysis,Latin America,5845,80409,93.81,0.04188,2632.6,99.12,406.0
Gemini-Ultra,Summarization,Asia-Pacific,1369,22501,89.98,0.0344,2769.8,99.12,433.7
Gemini-Ultra,Data Analysis,North America,3104,21969,91.2,0.03615,2574.4,99.12,417.8
GPT-4,Translation,Europe,732,5711,94.05,0.04014,3004.5,99.16,387.8
GPT-4,Chatbot,Europe,850,3797,93.34,0.04634,3015.2,99.16,311.2
Claude-3-Opus,Chatbot,Europe,1300,11597,92.41,0.03654,2720.9,99.18,374.4
Claude-3-Sonnet,Code Generation,North America,17877,114220,86.7,0.02051,1631.0,99.07,781.8
Gemini-Pro,Content Creation,North America,124,774,84.59,0.01314,1206.1,99.14,786.1
Gemini-Ultra,Question Answering,North America,2525,34185,91.87,0.03594,2563.0,99.11,376.7
Llama-3-70B,Translation,Middle East,949,15302,82.71,0.00446,1030.3,99.07,1088.3
Claude-3-Sonnet,Summarization,Europe,4463,67595,85.06,0.021,1542.4,99.13,643.9
Claude-3-Sonnet,Data Analysis,North America,4632,35279,89.25,0.01954,1607.3,99.16,701.0
Claude-3-Sonnet,Chatbot,Asia-Pacific,902,14735,86.92,0.01857,1551.0,99.14,601.8
Claude-3-Sonnet,Content Creation,North America,1612,27472,85.44,0.01555,1726.5,99.17,625.9
GPT-3.5-Turbo,Data Analysis,North America,1761,22524,82.06,0.00821,1077.9,99.26,900.6
GPT-3.5-Turbo,Chatbot,Asia-Pacific,87,643,81.38,0.00744,1194.9,99.07,811.3
GPT-4,Content Creation,Asia-Pacific,351,2965,93.64,0.04819,2919.3,99.15,348.3
Gemini-Ultra,Code Generation,North America,351,3054,93.02,0.03882,2556.3,99.18,399.6
GPT-3.5-Turbo,Data Analysis,North America,4742,23152,84.72,0.0082,1118.5,99.27,917.1
GPT-3.5-Turbo,Data Analysis,Europe,499,6945,83.21,0.00673,1128.6,99.16,772.5
Gemini-Pro,Content Creation,Europe,2643,27042,84.12,0.01148,1271.0,99.15,859.7
Gemini-Pro,Data Analysis,Middle East,707,10136,81.47,0.01172,1378.3,99.19,834.7
Gemini-Ultra,Data Analysis,North America,1533,15634,90.93,0.03162,2575.9,99.19,416.6
Mistral-7B,Code Generation,Europe,824,10505,72.1,0.00172,781.1,98.97,1631.1
Gemini-Ultra,Chatbot,Middle East,496,5122,89.83,0.03989,2345.2,99.08,392.2
Llama-3-70B,Question Answering,North America,612,8098,82.78,0.00459,728.2,99.09,1075.8
GPT-4,Code Generation,North America,622,8589,96.43,0.04221,2904.0,99.19,364.4
Claude-3-Sonnet,Data Analysis,Latin America,831,7880,88.41,0.01954,1602.9,99.08,683.6
Llama-3-70B,Content Creation,Middle East,354,4233,83.39,0.00403,924.7,99.0,1122.1
Claude-3-Sonnet,Chatbot,Europe,995,8739,92.15,0.01956,1474.0,99.1,699.6
Gemini-Pro,Chatbot,Latin America,94,497,82.88,0.01281,1207.7,99.1,857.3
GPT-4,Data Analysis,Middle East,1481,8169,94.84,0.04558,2784.8,99.08,340.8
GPT-4,Data Analysis,North America,233,1204,94.48,0.0433,3139.1,99.18,369.3
GPT-4,Chatbot,Europe,546,2742,91.24,0.03914,2551.6,99.16,321.0
Claude-3-Sonnet,Question Answering,Middle East,418,4244,89.72,0.01526,1552.0,99.26,600.2
Claude-3-Opus,Chatbot,Asia-Pacific,149,2736,91.53,0.03435,2483.5,99.12,368.2
Gemini-Pro,Code Generation,North America,1323,5923,86.93,0.01232,1355.0,99.09,861.5
Claude-3-Opus,Code Generation,North America,2222,33829,94.67,0.04078,2971.0,99.13,391.0
Gemini-Ultra,Translation,Europe,328,2936,90.5,0.04223,2253.2,99.15,396.1
Mistral-7B,Data Analysis,North America,550,4389,70.91,0.00177,747.0,98.99,1422.5
Llama-3-70B,Summarization,North America,520,4835,78.93,0.00358,868.7,98.99,1061.6
GPT-3.5-Turbo,Code Generation,Asia-Pacific,402,2673,84.45,0.0086,1274.9,99.12,894.6
Gemini-Pro,Data Analysis,North America,425,3964,87.13,0.01112,1300.5,99.14,761.1
Gemini-Pro,Chatbot,North America,3022,44348,81.28,0.01263,1355.6,99.27,833.0
Gemini-Pro,Question Answering,North America,1577,18840,85.35,0.01263,1336.8,99.17,912.8
Claude-3-Sonnet,Code Generation,Latin America,610,6742,90.23,0.01556,1434.5,99.09,633.1
Mistral-7B,Summarization,Latin America,1136,20323,76.45,0.00218,686.5,99.17,1489.7
Gemini-Pro,Content Creation,Europe,1002,4289,81.92,0.01105,1273.6,99.13,808.9
GPT-4,Content Creation,Europe,797,3455,94.65,0.04719,3064.5,99.15,383.0
GPT-4,Question Answering,North America,410,2857,94.44,0.04179,2902.0,99.04,354.7
GPT-4,Content Creation,Europe,4910,85645,90.35,0.04334,2862.7,99.17,340.2
Mistral-7B,Translation,Latin America,3076,17667,70.66,0.00187,775.3,99.04,1669.5
GPT-4,Data Analysis,North America,108,1389,94.67,0.04451,3004.4,99.1,364.0
GPT-4,Code Generation,Asia-Pacific,80,1228,94.92,0.04801,3031.4,99.15,335.5
Gemini-Pro,Content Creation,Europe,2891,34424,83.43,0.01325,1197.0,99.2,837.6
GPT-4,Content Creation,North America,694,11408,92.85,0.04707,2902.6,99.11,321.2
GPT-3.5-Turbo,Summarization,North America,1295,12665,83.53,0.0077,1301.7,99.13,764.5
GPT-3.5-Turbo,Code Generation,Latin America,558,3817,83.28,0.00745,1175.4,99.2,896.7
GPT-4,Chatbot,Europe,182,1237,92.58,0.04687,2744.0,99.13,322.2
Gemini-Ultra,Summarization,Asia-Pacific,980,17483,89.29,0.03272,2473.5,99.16,411.9
Llama-3-70B,Code Generation,Asia-Pacific,987,9211,83.06,0.00429,968.0,99.04,1108.3
Mistral-7B,Data Analysis,North America,1792,9239,73.93,0.00208,589.6,99.06,1302.5
Gemini-Pro,Data Analysis,Asia-Pacific,11431,101744,84.88,0.01345,1404.0,99.16,799.1
Claude-3-Sonnet,Summarization,North America,777,10030,88.42,0.02109,1502.3,99.17,746.0
Gemini-Pro,Chatbot,North America,1484,7450,82.39,0.01348,1379.6,99.11,856.8
Claude-3-Sonnet,Summarization,North America,1147,4976,88.69,0.01806,1458.4,99.1,625.8
GPT-3.5-Turbo,Summarization,Europe,1637,10959,82.42,0.00765,1234.0,99.09,764.8
Claude-3-Opus,Data Analysis,Asia-Pacific,5504,63812,94.8,0.03794,2949.2,99.11,354.5
Gemini-Ultra,Code Generation,North America,719,4380,92.94,0.04438,2572.1,99.18,384.8
Claude-3-Sonnet,Code Generation,North America,4866,76945,88.86,0.01726,1699.8,99.11,640.9
GPT-3.5-Turbo,Data Analysis,Asia-Pacific,135,1562,84.31,0.00836,1186.8,99.21,835.4
GPT-4,Code Generation,Europe,377,6361,94.88,0.04667,3260.7,99.03,369.8
GPT-4,Code Generation,Asia-Pacific,1400,5869,94.81,0.04826,2855.3,99.25,324.8
Gemini-Pro,Content Creation,North America,1032,7483,86.65,0.01291,1326.2,99.25,720.6
Claude-3-Sonnet,Summarization,North America,1795,14786,86.85,0.01805,1515.3,99.2,581.3
Gemini-Ultra,Data Analysis,Europe,1380,21453,92.16,0.03908,2501.1,99.15,359.0
Gemini-Pro,Chatbot,Latin America,2471,24164,87.37,0.01276,1347.5,99.13,797.7
Mistral-7B,Code Generation,Latin America,724,9573,72.88,0.00182,661.8,99.09,1626.6
Mistral-7B,Content Creation,Asia-Pacific,509,4048,76.73,0.00214,674.5,99.02,1537.4
Claude-3-Sonnet,Summarization,Middle East,6102,47784,85.86,0.01634,1463.6,99.14,684.3
Gemini-Ultra,Data Analysis,Europe,847,7998,93.81,0.03667,2706.8,99.16,379.9
Llama-3-70B,Chatbot,North America,763,7545,80.76,0.00367,998.5,99.1,1155.8
Llama-3-70B,Translation,Europe,163,2056,82.92,0.00419,826.7,98.99,1120.8
Claude-3-Sonnet,Chatbot,Asia-Pacific,1413,13021,86.93,0.01947,1434.2,99.16,629.7
Mistral-7B,Code Generation,Asia-Pacific,1013,5115,76.97,0.00242,716.4,99.03,1410.7
GPT-3.5-Turbo,Chatbot,Asia-Pacific,17379,128508,81.81,0.00817,1241.4,99.18,871.8
Claude-3-Sonnet,Data Analysis,North America,884,5914,87.48,0.01854,1467.7,99.18,753.4
GPT-4,Translation,Asia-Pacific,483,8625,93.37,0.04531,3011.0,99.13,366.0
Claude-3-Opus,Data Analysis,Asia-Pacific,1499,10695,92.18,0.03681,2673.5,99.08,386.4
Mistral-7B,Question Answering,Asia-Pacific,492,4347,72.52,0.00224,673.9,99.08,1612.1
Gemini-Pro,Content Creation,North America,655,4058,83.24,0.01242,1360.9,99.15,862.5
Llama-3-70B,Chatbot,Asia-Pacific,2304,19937,80.82,0.00414,1012.7,99.07,1050.9
Gemini-Pro,Chatbot,Europe,2671,17528,80.81,0.01229,1320.0,99.18,767.7
Mistral-7B,Question Answering,North America,1244,12906,77.39,0.00201,526.4,99.05,1581.6
GPT-4,Data Analysis,North America,393,6881,96.27,0.04712,2988.0,99.08,385.7
Llama-3-70B,Code Generation,North America,372,1635,84.22,0.00416,696.9,99.12,1146.5
Llama-3-70B,Question Answering,North America,793,11402,83.08,0.00462,937.4,98.93,1071.1
GPT-3.5-Turbo,Summarization,Europe,2348,22740,82.37,0.00837,1236.0,99.04,965.1
Gemini-Ultra,Chatbot,North America,5739,57291,91.47,0.04047,2466.6,99.2,409.2
Gemini-Ultra,Data Analysis,Europe,841,8607,91.84,0.03277,2710.6,99.13,359.2
Claude-3-Opus,Data Analysis,Europe,403,7029,89.69,0.03569,3212.7,99.09,394.9
GPT-4,Translation,North America,8163,121612,94.14,0.04236,2748.7,99.07,296.4
GPT-4,Code Generation,Europe,212,2123,94.24,0.04278,3169.1,99.17,336.5
Claude-3-Sonnet,Data Analysis,Middle East,836,8500,88.44,0.0163,1668.2,99.12,692.2
Gemini-Ultra,Chatbot,Europe,977,4792,88.02,0.03557,2608.4,99.25,374.4
Llama-3-70B,Data Analysis,Middle East,8295,69829,81.34,0.00438,957.6,99.16,1153.3
Claude-3-Opus,Chatbot,North America,241,3822,91.34,0.03729,2693.6,99.08,353.3
GPT-3.5-Turbo,Content Creation,Asia-Pacific,3390,41079,82.47,0.0079,1239.7,99.13,918.0
Claude-3-Opus,Data Analysis,Europe,498,7014,94.29,0.04232,2866.3,99.1,364.8
Gemini-Ultra,Summarization,Latin America,3399,27754,92.74,0.04047,2508.9,99.16,407.8
GPT-4,Chatbot,Latin America,585,4761,92.45,0.04074,3008.0,99.12,346.6
GPT-3.5-Turbo,Code Generation,Asia-Pacific,563,3122,86.76,0.00865,1204.9,99.12,858.8
Claude-3-Sonnet,Question Answering,North America,1215,15939,86.9,0.01485,1621.3,99.17,684.3
Claude-3-Opus,Translation,Asia-Pacific,1098,12766,91.64,0.04065,3247.6,99.19,385.6
Gemini-Pro,Content Creation,Latin America,3202,17936,85.04,0.00885,1286.4,99.15,854.0
Gemini-Pro,Data Analysis,North America,824,13496,87.19,0.01119,1303.2,99.08,821.7
Claude-3-Sonnet,Summarization,North America,1799,12187,88.84,0.01783,1647.4,99.16,633.4
GPT-3.5-Turbo,Translation,Middle East,538,5148,84.25,0.00799,1298.8,99.06,847.3
Claude-3-Sonnet,Translation,North America,829,10567,87.8,0.01793,1555.6,99.23,566.9
Gemini-Pro,Chatbot,Latin America,510,6510,82.55,0.01329,1258.5,99.15,793.1
Gemini-Pro,Code Generation,Asia-Pacific,86,1402,82.59,0.01135,1121.7,99.22,762.0
GPT-4,Chatbot,Europe,142,1030,94.05,0.04956,3026.9,99.13,332.2
GPT-4,Code Generation,Latin America,108,1236,92.9,0.0426,2871.4,99.07,350.2
Claude-3-Opus,Chatbot,North America,315,3917,91.72,0.04894,2805.4,99.14,338.0
Gemini-Ultra,Data Analysis,North America,526,5660,92.33,0.0326,2441.2,99.12,407.2
GPT-4,Content Creation,Asia-Pacific,1177,16247,95.47,0.04802,2707.2,99.1,319.4
Claude-3-Opus,Data Analysis,Europe,4048,40916,90.64,0.0402,2806.9,99.21,381.9
Gemini-Ultra,Code Generation,Asia-Pacific,485,1874,93.1,0.03843,2392.6,99.15,438.7
Claude-3-Opus,Question Answering,Asia-Pacific,2885,17752,93.39,0.03438,2606.7,99.18,411.9
GPT-4,Question Answering,North America,2039,24360,94.6,0.04376,2807.1,99.06,367.0
GPT-4,Chatbot,North America,480,2780,92.66,0.054,3135.6,99.13,370.4
Claude-3-Opus,Content Creation,Europe,818,14712,95.83,0.04024,2484.2,99.09,395.5
Gemini-Pro,Content Creation,North America,499,4904,83.88,0.01086,1245.1,99.15,836.7
Gemini-Ultra,Content Creation,Middle East,525,7189,92.18,0.04151,2452.3,99.16,417.9
Gemini-Pro,Summarization,Europe,1485,11970,82.72,0.01338,1146.6,99.13,814.4
GPT-4,Question Answering,Asia-Pacific,594,2830,92.67,0.04434,2894.1,99.15,333.6
GPT-4,Content Creation,North America,1494,26447,94.93,0.03978,2688.2,99.14,416.6
GPT-4,Code Generation,Latin America,215,2437,96.36,0.0437,2789.1,99.03,343.1
Llama-3-70B,Code Generation,Asia-Pacific,93,1112,85.87,0.00407,1011.0,99.12,1031.0
Claude-3-Opus,Question Answering,Middle East,903,8916,90.8,0.03097,3031.9,99.09,404.9
Gemini-Pro,Summarization,North America,1072,4906,83.72,0.01228,1250.5,99.16,796.6
GPT-4,Translation,North America,278,1155,93.56,0.03596,3056.5,99.18,334.3
Gemini-Pro,Question Answering,Middle East,643,5679,85.45,0.01239,1386.3,99.11,780.3
GPT-4,Chatbot,North America,2105,10423,91.89,0.03904,3238.9,99.15,368.7
Gemini-Ultra,Content Creation,North America,662,4131,90.0,0.03291,2394.1,99.19,452.6
GPT-4,Chatbot,North America,2612,39672,93.7,0.04465,2876.4,99.16,358.4
GPT-4,Content Creation,Europe,706,5820,94.11,0.0391,2873.5,99.11,355.1
GPT-4,Summarization,Europe,1231,9231,92.9,0.04556,2707.3,99.12,339.1
Claude-3-Opus,Translation,Asia-Pacific,1575,25398,91.72,0.04443,2566.7,99.19,379.6
Mistral-7B,Summarization,Latin America,6327,59140,78.44,0.0022,677.5,99.07,1421.0
Claude-3-Opus,Question Answering,Europe,151,867,91.97,0.03697,2519.6,99.17,340.8
Llama-3-70B,Translation,Asia-Pacific,534,9856,80.9,0.00516,1037.5,99.04,1012.1
Claude-3-Opus,Chatbot,Asia-Pacific,32711,215111,92.95,0.03989,2835.5,99.13,342.6
GPT-4,Question Answering,Europe,4890,25491,92.3,0.0428,2890.9,99.11,366.8
Mistral-7B,Content Creation,Europe,677,9595,74.9,0.0016,722.8,99.01,1538.9
Llama-3-70B,Code Generation,North America,350,5789,84.44,0.00456,773.6,99.1,1228.8
Claude-3-Opus,Question Answering,Asia-Pacific,645,8411,94.28,0.03324,2737.8,99.1,441.4
Gemini-Pro,Chatbot,North America,371,6205,82.33,0.01333,1349.0,99.17,876.0
Mistral-7B,Chatbot,Asia-Pacific,1325,17932,78.63,0.00251,804.7,98.96,1542.7
GPT-3.5-Turbo,Chatbot,North America,1196,6359,83.95,0.00843,1097.3,99.05,868.7
Claude-3-Sonnet,Content Creation,Europe,2558,21802,89.6,0.01681,1375.6,99.12,678.5
Claude-3-Sonnet,Translation,Europe,1421,10326,88.32,0.01868,1461.2,99.19,638.5
Claude-3-Sonnet,Chatbot,Middle East,1348,12076,90.04,0.01667,1570.0,99.16,700.9
Mistral-7B,Summarization,Middle East,3751,34038,75.27,0.00191,804.1,98.98,1536.6
Claude-3-Opus,Question Answering,North America,869,13467,94.88,0.03179,2829.0,99.07,398.2
Claude-3-Sonnet,Content Creation,North America,6332,91470,89.5,0.01901,1575.8,99.16,691.0
GPT-4,Translation,North America,2332,33532,94.61,0.04635,2946.1,99.05,362.2
Gemini-Pro,Chatbot,Middle East,5018,68042,82.59,0.01269,1399.2,99.16,772.5
Gemini-Ultra,Content Creation,Latin America,536,8676,91.57,0.04469,2513.7,99.23,407.9
Claude-3-Opus,Summarization,North America,7618,63181,92.06,0.03728,2802.4,99.13,404.7
Llama-3-70B,Content Creation,North America,664,10146,80.65,0.00377,938.6,99.15,1240.9
Mistral-7B,Chatbot,North America,651,7587,70.71,0.00175,705.2,99.07,1528.8
Claude-3-Opus,Question Answering,Latin America,108,1657,94.1,0.03434,2833.7,99.18,383.6
Gemini-Ultra,Chatbot,Middle East,1646,20567,89.59,0.04071,2742.5,99.17,342.1
Gemini-Ultra,Code Generation,North America,2783,17966,92.31,0.03986,2429.3,99.15,374.7
Mistral-7B,Content Creation,North America,1310,22499,73.48,0.0018,652.6,99.06,1469.5
GPT-4,Data Analysis,Latin America,2150,12631,93.12,0.03829,2950.6,99.14,403.4
Claude-3-Opus,Translation,Asia-Pacific,260,3195,89.94,0.04525,2912.6,99.15,404.8
GPT-4,Data Analysis,Asia-Pacific,278,2843,96.07,0.04717,3089.9,99.11,347.6
Claude-3-Sonnet,Data Analysis,North America,251,2607,90.29,0.01623,1602.7,99.14,649.0
Claude-3-Opus,Content Creation,Latin America,8871,43873,92.21,0.03883,2479.8,99.11,369.4
GPT-3.5-Turbo,Summarization,North America,1822,17918,81.97,0.00622,1088.3,99.13,830.5
GPT-3.5-Turbo,Chatbot,Europe,1102,16764,82.98,0.00677,1140.3,99.11,850.6
Llama-3-70B,Content Creation,Asia-Pacific,274,2299,80.35,0.00452,928.8,99.11,1035.3
GPT-4,Data Analysis,North America,378,5188,94.3,0.04711,2729.3,99.04,326.7
Gemini-Ultra,Data Analysis,Europe,1401,8658,91.48,0.04368,2769.0,99.16,431.6
Gemini-Pro,Content Creation,North America,1759,11818,84.97,0.01262,1319.4,99.09,786.1
GPT-3.5-Turbo,Code Generation,North America,1535,24378,85.98,0.00907,1077.9,99.14,867.5
Gemini-Ultra,Question Answering,Latin America,1892,23874,91.96,0.0351,2440.6,99.17,432.9
Llama-3-70B,Question Answering,North America,462,6700,83.84,0.00401,842.5,99.09,1138.6
Claude-3-Opus,Question Answering,North America,1318,21520,93.53,0.0385,3044.5,99.16,418.9
Llama-3-70B,Content Creation,Asia-Pacific,692,10434,83.15,0.00456,891.5,99.17,1086.2
Mistral-7B,Chatbot,Europe,793,11601,81.51,0.00206,739.8,99.01,1332.6
GPT-4,Question Answering,Asia-Pacific,2893,30708,96.47,0.03652,3185.1,99.17,261.0
Llama-3-70B,Code Generation,Europe,3572,16253,82.21,0.00317,972.4,99.15,1256.5
Claude-3-Sonnet,Summarization,North America,132,2211,85.27,0.0194,1596.1,99.13,648.3
GPT-4,Summarization,Asia-Pacific,1099,18391,92.52,0.04679,3102.3,99.14,354.7
Claude-3-Sonnet,Translation,Asia-Pacific,461,2251,87.33,0.01741,1518.7,99.16,598.9
GPT-3.5-Turbo,Code Generation,North America,8729,84895,82.97,0.00661,1311.3,99.16,957.3
Gemini-Pro,Code Generation,Europe,650,8804,89.84,0.01262,1251.3,99.07,784.4
Claude-3-Sonnet,Data Analysis,North America,919,7992,90.5,0.01878,1554.8,99.18,637.1
GPT-4,Summarization,Middle East,146,631,92.26,0.05016,3024.6,99.16,363.3
Claude-3-Opus,Data Analysis,North America,1134,16114,94.84,0.03429,2467.4,99.18,377.0
Gemini-Pro,Code Generation,North America,1544,9488,87.82,0.0133,1376.9,99.19,850.1
Claude-3-Opus,Summarization,Middle East,148,659,92.65,0.04126,2993.6,99.1,412.8
Claude-3-Sonnet,Summarization,North America,1321,7802,88.56,0.01693,1722.1,99.15,657.4
GPT-3.5-Turbo,Content Creation,Latin America,1074,13759,83.85,0.00889,1438.8,99.14,894.0
Claude-3-Opus,Data Analysis,Asia-Pacific,642,10199,92.68,0.03967,3084.4,99.09,393.2
GPT-4,Summarization,Latin America,928,4477,91.54,0.04726,3319.6,99.1,365.2
Gemini-Ultra,Translation,Latin America,2082,25604,90.02,0.03315,2538.0,99.11,378.9
Gemini-Ultra,Translation,Europe,2591,26914,90.97,0.03592,2590.4,99.13,409.6
Claude-3-Opus,Chatbot,North America,92,912,95.44,0.03826,2710.2,99.14,340.5
Gemini-Ultra,Chatbot,Europe,83,1342,90.32,0.03129,2447.5,99.15,388.5
Claude-3-Sonnet,Summarization,North America,2848,26078,87.57,0.01982,1640.9,99.07,702.2
Mistral-7B,Question Answering,Asia-Pacific,875,10810,79.04,0.00236,653.8,99.0,1517.0
Claude-3-Sonnet,Translation,Latin America,1560,24988,91.87,0.01832,1583.1,99.2,615.4
GPT-4,Summarization,Asia-Pacific,3604,63756,92.81,0.04523,3067.2,99.14,412.4
GPT-4,Question Answering,North America,2427,25501,95.48,0.04562,2879.3,99.2,378.2
Gemini-Ultra,Content Creation,North America,605,10778,91.13,0.03754,2757.5,99.15,389.8
Gemini-Ultra,Data Analysis,Latin America,6306,27752,91.35,0.03911,2603.0,99.16,400.0
Gemini-Ultra,Chatbot,Europe,6966,112531,88.54,0.03317,2514.5,99.17,428.5
GPT-4,Chatbot,Latin America,669,8300,91.31,0.04045,3078.3,99.15,366.6
GPT-4,Chatbot,Asia-Pacific,80,316,94.02,0.0415,3109.8,99.04,470.3
Mistral-7B,Content Creation,North America,1498,19398,73.55,0.00223,601.1,99.02,1581.5
Mistral-7B,Question Answering,North America,8858,109759,75.7,0.00204,779.6,99.05,1513.2
Gemini-Ultra,Chatbot,Latin America,901,4224,89.57,0.03139,2453.9,99.14,448.9
Claude-3-Sonnet,Chatbot,North America,739,10485,86.81,0.01418,1626.6,99.12,683.9
Gemini-Ultra,Chatbot,North America,6223,80457,90.7,0.03679,2638.0,99.03,418.6
GPT-3.5-Turbo,Translation,Europe,716,6853,84.57,0.00861,1197.0,99.08,822.9
Claude-3-Sonnet,Content Creation,Asia-Pacific,736,9409,88.39,0.0191,1440.0,99.14,695.4
Gemini-Ultra,Content Creation,Middle East,1361,12503,91.94,0.03579,2463.0,99.17,387.7
Claude-3-Opus,Translation,Asia-Pacific,833,10394,93.36,0.03965,2950.5,99.16,358.9
Gemini-Ultra,Summarization,North America,213,3789,91.3,0.03485,2369.7,99.19,390.0
GPT-4,Summarization,North America,1634,12254,93.75,0.04874,2729.5,99.09,324.3
Claude-3-Opus,Data Analysis,North America,987,5823,92.19,0.04852,2573.6,99.04,350.0
GPT-3.5-Turbo,Code Generation,Europe,172,1807,88.58,0.00745,1211.6,99.11,797.6
GPT-3.5-Turbo,Chatbot,North America,2949,51725,82.87,0.00774,1120.8,99.22,841.4
Llama-3-70B,Question Answering,Asia-Pacific,16901,181589,81.52,0.00399,950.2,99.11,1084.9
Llama-3-70B,Chatbot,Asia-Pacific,502,2505,83.32,0.00457,921.5,98.99,1114.0
Claude-3-Opus,Translation,Asia-Pacific,1468,21670,92.57,0.04365,2598.5,99.13,399.6
Mistral-7B,Content Creation,Latin America,5101,86767,81.02,0.00199,787.2,99.01,1437.6
Claude-3-Opus,Question Answering,North America,415,5680,92.88,0.04731,3105.1,99.12,322.9
Llama-3-70B,Question Answering,North America,418,4560,85.67,0.00437,958.9,99.08,947.3
Llama-3-70B,Chatbot,Asia-Pacific,616,10021,81.66,0.00372,942.4,99.01,951.5
Gemini-Ultra,Content Creation,North America,568,7730,91.7,0.03726,2757.0,99.14,390.2
Mistral-7B,Translation,Europe,1700,25118,74.76,0.00225,733.2,99.05,1412.4
Claude-3-Sonnet,Content Creation,Asia-Pacific,712,3889,90.96,0.01661,1664.5,99.11,645.0
Mistral-7B,Translation,North America,2238,18227,73.4,0.00227,646.4,99.02,1602.2
GPT-3.5-Turbo,Chatbot,Latin America,627,3768,81.63,0.0079,1223.9,99.13,926.9
Gemini-Pro,Translation,Asia-Pacific,731,8467,82.85,0.01378,1300.0,99.22,791.3
GPT-3.5-Turbo,Question Answering,North America,495,3484,83.42,0.00857,1266.6,99.14,840.7
Gemini-Ultra,Code Generation,Latin America,235,1978,93.06,0.03571,2468.2,99.1,399.8
Gemini-Ultra,Content Creation,North America,704,6864,92.15,0.04941,2499.8,99.18,393.9
Llama-3-70B,Data Analysis,Europe,1765,27859,79.78,0.00424,834.4,99.02,1220.3
GPT-3.5-Turbo,Code Generation,North America,5342,41742,82.67,0.0065,1074.6,99.18,881.7
Claude-3-Opus,Translation,Asia-Pacific,674,8090,95.08,0.0325,2767.1,99.07,416.5
Claude-3-Sonnet,Chatbot,North America,1281,12985,90.84,0.01789,1488.4,99.19,631.6
Mistral-7B,Question Answering,North America,490,2485,75.6,0.00187,748.9,99.13,1496.4
GPT-4,Content Creation,Europe,128,1619,92.04,0.05115,2930.8,99.1,349.5
